,Province,Pollutant,Year,Value,Per Capita,By Capita,Death,Death per Capita
216,MB,CO,2004,280882.0023357539,1171479.0,0.2397669973902681,19607,0.016736962421007973
217,MB,SOX,2004,383288.9334707773,1171479.0,0.32718378517308233,19607,0.016736962421007973
218,MB,NOX,2004,67179.7678688485,1171479.0,0.057346113646807584,19607,0.016736962421007973
219,MB,VOC,2004,77735.48460516497,1171479.0,0.06635670345363849,19607,0.016736962421007973
220,NB,NH3,2004,5674.618101856227,749297.0,0.007573256134558429,19607,0.02616719404988943
221,NB,CO,2004,240388.17357564348,749297.0,0.3208182784338433,19607,0.02616719404988943
222,NB,SOX,2004,112785.9995298864,749297.0,0.15052242239043584,19607,0.02616719404988943
223,NB,NOX,2004,76795.55272286739,749297.0,0.102490137719579,19607,0.02616719404988943
224,NB,VOC,2004,59986.77189708205,749297.0,0.08005740300185647,19607,0.02616719404988943
225,NS,NH3,2004,4634.4312974320255,939332.0,0.0049337521743452,19607,0.0208733440359745
226,NS,CO,2004,207243.2943168725,939332.0,0.22062837667286167,19607,0.0208733440359745
227,NS,SOX,2004,183568.08558762664,939332.0,0.19542407326443328,19607,0.0208733440359745
228,NS,NOX,2004,94490.0735038002,939332.0,0.10059283991581273,19607,0.0208733440359745
229,NS,VOC,2004,50102.50600461768,939332.0,0.05333844264287566,19607,0.0208733440359745
230,QC,NH3,2004,68643.32992920426,7529977.75,0.009116007006687937,19607,0.002603858955625732
231,QC,CO,2004,1738461.3288793718,7529977.75,0.2308720406085359,19607,0.002603858955625732
232,QC,SOX,2004,260449.2681514712,7529977.75,0.03458831842517346,19607,0.002603858955625732
233,QC,NOX,2004,314169.67046782054,7529977.75,0.04172252308020705,19607,0.002603858955625732
234,QC,VOC,2004,373831.0366332188,7529977.75,0.04964570268925679,19607,0.002603858955625732
235,SK,NH3,2004,83829.72945242604,996978.5,0.08408378861974058,19607,0.019666422094358104
236,SK,CO,2004,458204.1237915268,996978.5,0.4595927833865292,19607,0.019666422094358104
237,SK,SOX,2004,148582.8098587011,996978.5,0.14903311341087205,19607,0.019666422094358104
238,SK,NOX,2004,172841.9687395166,996978.5,0.1733657934845301,19607,0.019666422094358104
239,SK,VOC,2004,243646.6210500245,996978.5,0.24438503041943682,19607,0.019666422094358104
240,NL,NH3,2004,1116.2766029386034,517752.0,0.002156006356206453,19607,0.037869481914121046
241,NL,CO,2004,110431.78577100528,517752.0,0.21329089172230195,19607,0.037869481914121046
242,NL,SOX,2004,49405.12020171081,517752.0,0.09542236476481174,19607,0.037869481914121046
243,NL,NOX,2004,57056.79966917122,517752.0,0.11020102224457118,19607,0.037869481914121046
244,NL,VOC,2004,31020.89995327968,517752.0,0.05991459222423029,19607,0.037869481914121046
245,PE,NH3,2004,3709.513396501229,137628.5,0.026953090359200522,19607,0.14246322527674138
246,PE,CO,2004,40220.34961115803,137628.5,0.292238523352053,19607,0.14246322527674138
247,PE,SOX,2004,3681.071988881565,137628.5,0.02674643688539485,19607,0.14246322527674138
